episode,decision,candidate,current,attr_argmax_stats_v1_total,attrmix_stats_atom_v1_total,attrmix_stats_hist16_v1_total,j3_q95_v1_total,r1b_mean_v1_total,r1b_q95_v1_total,r1b_stepcvar95_v1_total,truth_h5_v1_total,truth_total
validation_000000,0,episode_validation_000000_job_000|QPzmsQ86_HM_langgraph_react_1786934600658:api_call:2|0,21267.6,73451.8,73293.0,131268.8,52290.7,35437.8,59377.9,75888.4,67611.0
validation_000000,0,episode_validation_000000_job_000|QPzmsQ86_HM_langgraph_react_1786934600658:api_call:2|1,21267.6,73451.8,73293.0,131268.8,52290.7,35437.8,59377.9,75888.4,67611.0
validation_000000,1,episode_validation_000000_job_000|QPzmsQ86_HM_langgraph_react_1786934600658:action:5|0,5492.4,57676.6,56803.8,114075.4,50896.9,27417.6,48062.2,58528.7,38570.8
validation_000000,1,episode_validation_000000_job_000|QPzmsQ86_HM_langgraph_react_1786934600658:action:5|1,5492.4,57676.6,56803.8,114075.4,50896.9,27417.6,48062.2,58528.7,38570.8
validation_000000,1,episode_validation_000000_job_000|QPzmsQ86_HM_langgraph_react_1786934600658:api_call:4|0,2430.5,54614.7,53848.7,111180.0,36540.7,19379.4,45865.8,66437.4,35508.9
validation_000000,1,episode_validation_000000_job_000|QPzmsQ86_HM_langgraph_react_1786934600658:api_call:4|1,2430.5,54614.7,53848.7,111180.0,36540.7,19379.4,45865.8,66437.4,35508.9
validation_000000,2,episode_validation_000000_job_000|QPzmsQ86_HM_langgraph_react_1786934600658:action:5|1,5492.4,57676.6,56803.8,114075.4,50896.9,27417.6,48062.2,58528.7,38570.8
validation_000000,3,episode_validation_000000_job_000|QPzmsQ86_HM_langgraph_react_1786934600658:api_call:6|0,2793.4,54977.6,54435.3,112028.0,28453.1,21418.8,45850.3,61478.5,30270.1
validation_000000,3,episode_validation_000000_job_000|QPzmsQ86_HM_langgraph_react_1786934600658:api_call:6|1,2793.4,54977.6,54435.3,112028.0,28453.1,21418.8,45850.3,61478.5,30270.1
validation_000000,4,episode_validation_000000_job_000|QPzmsQ86_HM_langgraph_react_1786934600658:api_call:8|0,382.5,52566.7,51980.5,109563.3,27607.7,15274.5,37254.3,51718.7,22173.0
